X,Y,id,name
9.1086334,49.3514334,node/137682200,Diedesheim
9.1031696,49.3234232,node/145384027,Hochhausen
9.1369802,49.3717176,node/145426199,Waldstadt
9.2246475,49.7287668,node/148118815,Großheubach
9.2149075,49.7218493,node/148121258,Kleinheubach
9.2713816,49.7158643,node/148122845,Bürgstadt
9.3172635,49.7441691,node/148124714,Kirschfurt
9.220731,49.6915211,node/148126437,Breitendiel
9.2225034,49.643684,node/148127744,Amorbach
9.3737527,49.6891426,node/148131718,Umpfenbach
9.1823607,49.711653,node/148146017,Rüdenau
9.1860705,49.6907721,node/148146205,Mainbullau
9.1769743,49.6749849,node/148146685,Weckbach
9.3748994,49.6709902,node/148149249,Pfohlbach
9.3582483,49.6659906,node/148149422,Heppdiel
9.383644,49.7410617,node/148163389,Rauenberg
9.359863,49.7162867,node/148164166,Ebenheid
9.339833,49.6582008,node/148168294,Windischbuchen
8.6755572,49.7479353,node/152369187,Stettbach
8.0065729,49.124931,node/162734387,Gleiszellen-Gleishorbach
8.0553137,49.1466352,node/162736125,Heuchelheim
8.0311205,49.1017841,node/162738082,Kapellen-Drusweiler
8.0019315,49.1141487,node/162740901,Pleisweiler
8.0111971,49.1198459,node/162741133,Oberhofen
8.0728342,49.101447,node/162742957,Barbelroth
8.0696204,49.0815016,node/162745040,Dierbach
8.3448693,49.3145066,node/164407838,Hanhofen
8.3299862,49.2694079,node/164409617,Schwegenheim
8.2534154,49.3050276,node/164411991,Geinsheim
8.2145158,49.2991519,node/164414993,Duttweiler
8.1958916,49.3218667,node/164416100,Lachen
8.2062761,49.3357479,node/164416197,Speyerdorf
8.1887666,49.2618656,node/164425023,Kleinfischlingen
8.2765847,49.2450598,node/164426711,Lustadt
6.7582558,49.6900139,node/164734405,Bonerath
6.7372881,49.6998907,node/164774104,Lonzenburg
7.9664461,49.168774,node/168022326,Waldrohrbach
7.9322136,49.169157,node/168022484,Völkersweiler
7.9270638,49.1614121,node/168024101,Gossersweiler-Stein
7.9679192,49.1491748,node/168024789,Münchweiler am Klingbach
7.9324802,49.1151354,node/168027787,Birkenhördt
7.9371918,49.0971608,node/168029543,Böllenborn
7.8621631,49.1124928,node/168033768,Erlenbach bei Dahn
7.8811513,49.1268452,node/168035786,Vorderweidenthal
7.9755327,49.1887177,node/168043325,Bindersbach
7.9681677,49.2242284,node/168044649,Gräfenhausen
7.972228,49.2415479,node/168045356,Eußerthal
9.3653227,49.5206557,node/172903895,Hettingen
8.2438735,49.1108161,node/173617018,Hatzenbühl
8.2775945,49.4172709,node/176507045,Hochdorf-Assenheim
8.3050599,49.4378052,node/176507734,Schauernheim
8.2659966,49.4299651,node/176509107,Rödersheim-Gronau
8.3542306,49.4422445,node/176509158,Mutterstadt
8.2617051,49.4631124,node/176511150,Ellerstadt
8.1980187,49.3997001,node/176513866,Ruppertsberg
8.7376747,49.3025174,node/176887682,Baiertal
8.7088627,49.5401325,node/180001394,Gorxheim
6.9816934,49.7255436,node/182756250,Dhronecken
9.1337201,49.2829732,node/185485880,Neckarmühlbach
9.0570919,49.4641324,node/185487412,Waldkatzenbach
9.1623,49.4522852,node/185487417,Robern
9.3611411,49.3233013,node/187709621,Möckmühl
9.2200008,49.401336,node/192609333,Auerbach
9.2842887,49.4169396,node/192610483,Oberschefflenz
8.9767816,49.3248537,node/195400880,Helmstadt
9.1254373,49.3729464,node/195417429,Nüstenbach
9.1681837,49.3786293,node/195497983,Neckarburken
9.1894698,49.3847758,node/195498605,Dallau
8.2108403,49.5066726,node/197820432,Freinsheim
9.0218476,49.3638873,node/198828565,Breitenbronn
9.0340166,49.3842729,node/198828617,Neckarkatzenbach
9.0766248,49.389961,node/198912862,Guttenbach
9.0777233,49.4352484,node/198913084,Schollbrunn
9.0545433,49.4477041,node/198913166,Oberdielbach
9.0754859,49.4629722,node/198920487,Strümpfelbrunn
9.1587461,49.5049566,node/198931184,Scheidental
9.203843,49.5330014,node/198935032,Mudau
9.1533884,49.5389678,node/198946061,Schloßau
9.1773699,49.6179281,node/198970343,Kirchzell
8.0923966,49.0965179,node/201487940,Hergersweiler
7.6392258,49.2384912,node/201863321,Rodalben
8.6187947,49.1795983,node/204036762,Weiher
8.6480013,49.2027018,node/204060889,Bad Langenbrücken
6.5215199,49.6722284,node/205104725,Tawern
9.3655622,49.1140029,node/207134282,Hößlinsülz
6.8889313,49.5410205,node/213062588,Wadern
6.7969551,49.6140207,node/213064056,Waldweiler
6.4816511,49.6442489,node/224003599,Onsdorf
6.4959717,49.6355829,node/224003606,Kümmern
8.955414,49.2630032,node/224649346,Adersbach
8.8622245,49.1952362,node/224739111,Hilsbach
7.9263693,49.2180664,node/227299328,Rinnthal
8.4190139,49.1723804,node/240023656,Dettenheim (Baden)
8.1144699,49.0977236,node/240023766,Winden
9.2481247,49.6389609,node/240023798,Schneeberg
7.7061144,49.6913692,node/240023979,Schmittweiler
8.3199952,49.5602951,node/240024070,Beindersheim
8.5450393,49.6725336,node/240024261,Einhausen
6.6932008,49.6170655,node/240024349,Hentern
8.2366619,49.2844072,node/240024431,Böbingen
8.96222,49.7325,node/240024625,Brombachtal
8.0950894,49.6495137,node/240024640,Albisheim (Pfrimm)
8.005256,49.2469822,node/240024652,Dernbach
9.0405229,49.4191717,node/240024716,Zwingenberg
7.8091705,49.7099007,node/240024902,Oberndorf
7.5979687,49.6356982,node/240025024,Lohnweiler
7.0116682,49.6426732,node/240025187,Neuhütten
9.2692171,49.1702206,node/240025535,Erlenbach
7.5648537,49.5587895,node/240025617,Eßweiler
8.2136433,49.5684671,node/240025778,Obersülzen
7.6075894,49.7091668,node/240025793,Jeckenbach
7.6056836,49.6276796,node/240026111,Heinzenhausen
7.1430408,49.5870808,node/240026193,Nohfelden
6.4334568,49.6692928,node/240026204,Wellen
7.7111467,49.0872576,node/240026377,Fischbach bei Dahn
7.3310741,49.4669059,node/240026458,Krottelbach
8.2647113,49.5485287,node/240026760,Gerolsheim
7.4996312,49.7411039,node/240026825,Becherbach
7.513853,49.5801828,node/240027016,Elzweiler
8.9735734,49.5675334,node/240027020,Beerfelden
7.7723649,49.5008961,node/240027638,Otterberg
8.3224532,49.2459386,node/240027834,Westheim (Pfalz)
9.1456196,49.0428428,node/240027838,Kirchheim am Neckar
7.5115722,49.6083958,node/240027848,Sankt Julian
7.5558081,49.3360546,node/240028232,Hettenhausen
7.0963644,49.6158565,node/240028353,Meckenbach
8.88333,49.3464,node/240028475,Spechbach
6.9662026,49.7433648,node/240028672,Lückenburg
7.2607462,49.6983772,node/240028726,Oberbrombach
7.663257,49.0756968,node/240028737,Ludwigswinkel
7.7729916,49.5754009,node/240029364,Gehrweiler
7.6560835,49.7437451,node/240029389,Abtweiler
7.2002544,49.7189044,node/240029668,Leisel
7.3541281,49.5085244,node/240030024,Konken
8.5237178,49.367538,node/240030099,Ketsch
7.7328467,49.6308738,node/240030192,Teschenmoschel
7.4786499,49.2386825,node/240030544,Dellfeld
7.6060529,49.2886589,node/240030735,Höheinöd
7.6306732,49.7180394,node/240030824,Desloch
8.4981449,49.432853,node/240030948,Altrip
7.9356432,49.5528371,node/240031237,Sippersfeld
8.5868965,49.1527177,node/240031407,Forst
6.3874514,49.4735915,node/240031493,Perl
7.9229398,49.5234456,node/240031927,Neuhemsbach
7.6860831,49.7342256,node/240031968,Rehborn
7.6700779,49.706647,node/240031974,Meisenheim
8.6328799,49.2190434,node/240032112,Kronau
7.5045923,49.5775154,node/240032692,Welchweiler
7.5292014,49.5397005,node/240033063,Bosenbach
7.521961,49.3554324,node/240033113,Gerhardsbrunn
7.7738979,49.6419834,node/240033711,Schönborn
7.5213458,49.316521,node/240033794,Wallhalben
7.6310962,49.6977623,node/240033858,Breitenheim
7.7200953,49.6148174,node/240034001,Rathskirchen
7.8033913,49.693838,node/240034175,Mannweiler-Cölln
8.2549935,49.1525055,node/240034255,Herxheimweyher
7.6199613,49.498682,node/240034351,Erzenhausen
7.1618243,49.6862306,node/240034362,Oberhambach
7.4710556,49.3032873,node/240034515,Winterbach
7.876997,49.7353027,node/240034648,Münsterappel
7.5255755,49.6656717,node/240034736,Langweiler
9.3410856,49.3635412,node/240035127,Roigheim
7.2797042,49.6715275,node/240035293,Sonnenberg-Winnenberg
8.287455,49.4815909,node/240035662,Maxdorf
7.3204294,49.4415289,node/240035762,Altenkirchen
7.4293094,49.2481055,node/240035781,Contwig
7.4174933,49.3267832,node/240036287,Käshofen
8.74972,49.3664,node/240036650,Gaiberg
8.09056,49.1367,node/240036808,Billigheim-Ingenheim
7.3279177,49.5405662,node/240036924,Pfeffelbach
